text,class
I have no idea where you are,ham
Miss call miss call khelate kintu opponenter miss call dhorte lage. Thats d rule. One with great phone receiving quality wins.,ham
May b approve panalam...but it should have more posts..,ham
Draw va?i dont think so:),ham
I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,ham
The world's most happiest frnds never have the same characters... Dey just have the best understanding of their differences...,ham
Same to u...,ham
The wine is flowing and i'm i have nevering..,ham
My sort code is  and acc no is . The bank is natwest. Can you reply to confirm i've sent this to the right person!,ham
Thanks  and ! Or bomb and date as my phone wanted to say!,ham
I am 6 ft. We will be a good combination!,ham
Near kalainar tv office.thenampet,ham
"Yeah, that's fine! It's å£6 to get in, is that ok?",ham
Dear i am not denying your words please,ham
Purity of friendship between two is not about smiling after reading the forwarded message..Its about smiling just by seeing the name. Gud evng,ham
Hope you are not scared!,ham
Not getting anywhere with this damn job hunting over here!,ham
"Come round, it's .",ham
K. Did you call me just now ah?,ham
Yup bathe liao...,ham
K..k..i'm also fine:)when will you complete the course?,ham
Stop knowing me so well!,ham
I wonder if you'll get this text?,ham
I will come tomorrow di,ham
"Why is that, princess? I bet the brothas are all chasing you!",ham
Give me a sec to think think about it,ham
I wanted to ask Ì_ to wait 4 me to finish lect. Cos my lect finishes in an hour anyway.,ham
Oh ho. Is this the first time u use these type of words,ham
Let me know when you've got the money so carlos can make the call,ham
Hey check it da. I have listed da.,ham
Sounds better than my evening im just doing my costume. Im not sure what time i finish tomorrow but i will txt you at the end.,ham
"I shall book chez jules for half eight, if that's ok with you?",ham
I have 2 docs appointments next week.:/ I'm tired of them shoving stuff up me. Ugh why couldn't I have had a normal body?,ham
Good. No swimsuit allowed :),ham
"Wait, do you know if wesleys in town? I bet she does hella drugs!",ham
Looks like u wil b getting a headstart im leaving here bout 2.30ish but if u r desperate for my company I could head in earlier-we were goin to meet in rummer.,ham
"Yes, princess. Are you going to make me moan?",ham
Might ax well im there.,ham
I'm already back home so no probably not,ham
Oh shut it. Omg yesterday I had a dream that I had 2 kids both boys. I was so pissed. Not only about the kids but them being boys. I even told mark in my dream that he was changing diapers cause I'm not getting owed in the face.,ham
Jesus christ bitch I'm trying to give you drugs answer your fucking phone,ham
"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?",ham
Ok k..sry i knw 2 siva..tats y i askd..,ham
What's happening with you. Have you gotten a job and have you begun registration for permanent residency,ham
We are supposed to meet to discuss abt our trip... Thought xuhui told you? In the afternoon. Thought we can go for lesson after that,ham
Ok i msg u b4 i leave my house.,ham
No got new job at bar in airport on satsgettin 4.47per hour but means no lie in! keep in touch,ham
Don't look back at the building because you have no coat and i don't want you to get more sick. Just hurry home and wear a coat to the gym!!!,ham
Have you bookedthe hut? And also your time off? How are you by the way?,ham
Have a great trip to India. And bring the light to everyone not just with the project but with everyone that is lucky to see you smile. Bye. Abiola,ham
Mm so you asked me not to call radio,ham
ÌÏ all write or wat..,ham
I will vote for wherever my heart guides me,ham
Good morning princess! Have a great day!,ham
No plans yet. What are you doing ?,ham
Hey... Why dont we just go watch x men and have lunch... Haha,ham
